Index,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
605,50.7383995056,51.2745018005,45.4258003235,48.7486991882,134604000,4404475423.01,2017-04-02T23:59:59.999Z,Ethereum,4/2/2017
606,48.8212013245,48.8212013245,43.4096984863,44.3563995361,190512992,4009009195.66,2017-04-03T23:59:59.999Z,Ethereum,4/3/2017
607,43.9217987061,45.7396011353,41.7218017578,44.6418991089,157568000,4036201193.54,2017-04-04T23:59:59.999Z,Ethereum,4/4/2017
608,44.6610984802,47.8433990479,44.5381011963,45.3040008545,119733000,4097477787.64,2017-04-05T23:59:59.999Z,Ethereum,4/5/2017
609,45.220500946,45.6418991089,40.9011001587,43.242099762,147120000,3912317958.56,2017-04-06T23:59:59.999Z,Ethereum,4/6/2017
610,42.8651008606,44.0374984741,41.6459999084,42.1626014709,81474704,3815963046.08,2017-04-07T23:59:59.999Z,Ethereum,4/7/2017
611,41.7984008789,45.2052993774,41.7308006287,44.3070983887,74138800,4011422381.1,2017-04-08T23:59:59.999Z,Ethereum,4/8/2017
612,44.2803993225,44.4905014038,42.8927993774,43.266998291,55143000,3918563431.42,2017-04-09T23:59:59.999Z,Ethereum,4/9/2017
613,43.2775993347,44.1358985901,42.4154014587,43.4351997375,44061500,3935103267.82,2017-04-10T23:59:59.999Z,Ethereum,4/10/2017
614,43.5013999939,44.2527999878,43.2997016907,43.4071998596,38303300,3933886290.61,2017-04-11T23:59:59.999Z,Ethereum,4/11/2017
615,43.4627990723,47.2319984436,43.1100006104,46.2873001099,88045696,4196302993.71,2017-04-12T23:59:59.999Z,Ethereum,4/12/2017
616,46.3106002808,50.9137992859,46.3106002808,50.2193984985,157200000,4554299451.84,2017-04-13T23:59:59.999Z,Ethereum,4/13/2017
617,49.9714012146,50.0500984192,46.7625007629,47.5741004944,91674400,4315878956.94,2017-04-14T23:59:59.999Z,Ethereum,4/14/2017
618,47.6537017822,49.5699996948,47.1753997803,49.1015014648,66207800,4455916490.16,2017-04-15T23:59:59.999Z,Ethereum,4/15/2017
619,49.0377998352,49.1431007385,48.1873016357,48.71849823,31343800,4422644315.05,2017-04-16T23:59:59.999Z,Ethereum,4/16/2017
620,48.6596984863,48.7453994751,48.0517997742,48.304599762,44013300,4386552041.3,2017-04-17T23:59:59.999Z,Ethereum,4/17/2017
621,48.3190002441,51.0302009583,48.2971000671,50.7075004578,78748496,4606307173.7,2017-04-18T23:59:59.999Z,Ethereum,4/18/2017
622,50.7290000916,50.9480018616,47.2605018616,48.3053016663,76281000,4389519738.2,2017-04-19T23:59:59.999Z,Ethereum,4/19/2017
623,48.1323013306,49.9889984131,48.1323013306,49.6721992493,79600896,4515241562.83,2017-04-20T23:59:59.999Z,Ethereum,4/20/2017
624,49.6432991028,49.6617012024,48.1403007507,48.2243995667,45048300,4385105011.63,2017-04-21T23:59:59.999Z,Ethereum,4/21/2017
625,48.1823997498,48.742099762,48.1730995178,48.5530014038,37357600,4416442027.91,2017-04-22T23:59:59.999Z,Ethereum,4/22/2017
626,48.5924987793,48.8856010437,48.1680984497,48.4892997742,36234000,4412126295.05,2017-04-23T23:59:59.999Z,Ethereum,4/23/2017
627,48.8666992188,50.1814002991,48.8666992188,50.03150177,55580600,4553943109.04,2017-04-24T23:59:59.999Z,Ethereum,4/24/2017
628,50.0746002197,50.3036003113,49.8069000244,49.8912010193,38264600,4542708760.73,2017-04-25T23:59:59.999Z,Ethereum,4/25/2017
629,49.9094009399,53.4367980957,49.9094009399,52.7202987671,104884000,4801851007.96,2017-04-26T23:59:59.999Z,Ethereum,4/26/2017
630,52.8056983948,62.1677017212,52.2886009216,62.1677017212,246775008,5664157654.51,2017-04-27T23:59:59.999Z,Ethereum,4/27/2017
631,62.2268981934,70.846496582,62.1332015991,70.1592025757,346545984,6394355247.08,2017-04-28T23:59:59.999Z,Ethereum,4/28/2017
632,71.3896026611,71.9048995972,66.7789001465,68.3768997192,165448000,6233911088.18,2017-04-29T23:59:59.999Z,Ethereum,4/29/2017
633,68.5406036377,79.0212020874,68.3477020264,79.0212020874,229944992,7206669916.76,2017-04-30T23:59:59.999Z,Ethereum,4/30/2017
634,79.3216018677,82.5239028931,73.0866012573,76.2969970703,376841984,6960466481.79,2017-05-01T23:59:59.999Z,Ethereum,5/1/2017
635,76.6533966064,79.353302002,74.3768005371,77.2638015747,193772992,7050941746.05,2017-05-02T23:59:59.999Z,Ethereum,5/2/2017
636,77.2539978027,80.0952987671,75.7633972168,79.7182006836,141922000,7277279245.56,2017-05-03T23:59:59.999Z,Ethereum,5/3/2017
637,79.7203979492,97.5618972778,79.431098938,96.9813995361,366847008,8856050446.13,2017-05-04T23:59:59.999Z,Ethereum,5/4/2017
638,96.734703064,103.233001709,92.2203979492,94.3984985352,331928000,8622992170.8,2017-05-05T23:59:59.999Z,Ethereum,5/5/2017
639,94.9121017456,97.8759002686,90.9501037598,97.8134994507,151462000,8937843150.73,2017-05-06T23:59:59.999Z,Ethereum,5/6/2017
640,97.8694000244,98.2390975952,89.8664016724,94.0073013306,183295008,8592854298.44,2017-05-07T23:59:59.999Z,Ethereum,5/7/2017
641,93.7470016479,95.1369018555,89.5146026611,91.4204025269,231344000,8359085414.16,2017-05-08T23:59:59.999Z,Ethereum,5/8/2017
642,91.2279968262,93.0567016602,80.3899002075,91.162902832,363433984,8338258352.48,2017-05-09T23:59:59.999Z,Ethereum,5/9/2017
643,91.1511001587,92.8469009399,85.2863006592,89.5249023438,145602000,8191083679.73,2017-05-10T23:59:59.999Z,Ethereum,5/10/2017
644,89.7706985474,102.547996521,88.4758987427,89.879699707,132722000,8226220249.18,2017-05-11T23:59:59.999Z,Ethereum,5/11/2017
645,89.4285964966,93.1231002808,88.6554031372,88.6554031372,145824992,8116816184.31,2017-05-12T23:59:59.999Z,Ethereum,5/12/2017
646,88.6943969727,93.8123016357,86.6602020264,90.8354034424,88742200,8319066650.65,2017-05-13T23:59:59.999Z,Ethereum,5/13/2017
647,90.87159729,91.248298645,89.6060028076,90.7864990234,66046600,8317148600.72,2017-05-14T23:59:59.999Z,Ethereum,5/14/2017
648,90.7841033936,95.4304962158,86.8292007446,92.4149017334,170999008,8468960165.58,2017-05-15T23:59:59.999Z,Ethereum,5/15/2017
649,92.3877029419,93.5550994873,89.1175994873,89.43800354,152284992,8198722531.46,2017-05-16T23:59:59.999Z,Ethereum,5/16/2017
650,89.2502975464,91.269203186,84.4300003052,89.8603973389,183031008,8239948168.78,2017-05-17T23:59:59.999Z,Ethereum,5/17/2017
651,89.8404006958,97.368598938,89.8404006958,96.9063034058,196236992,8888797356.92,2017-05-18T23:59:59.999Z,Ethereum,5/18/2017
652,97.0528030396,133.56199646,97.0528030396,129.5269927979,626945024,11884632930.1,2017-05-19T23:59:59.999Z,Ethereum,5/19/2017
653,129.2220001221,133.6410064697,124.702003479,126.5210037231,331455008,11612447945.8,2017-05-20T23:59:59.999Z,Ethereum,5/20/2017
654,127.5370025635,159.0260009766,125.888999939,157.93699646,570361024,14500421528.6,2017-05-21T23:59:59.999Z,Ethereum,5/21/2017
655,158.1730041504,201.7460021973,152.4739990234,174.2610015869,1188909952,16004156112.1,2017-05-22T23:59:59.999Z,Ethereum,5/22/2017
656,170.8179931641,183.5489959717,169.9320068359,181.9519958496,530708992,16715702521.2,2017-05-23T23:59:59.999Z,Ethereum,5/23/2017
657,182.6490020752,228.3739929199,182.4470062256,190.046005249,561014016,17464735543,2017-05-24T23:59:59.999Z,Ethereum,5/24/2017
658,189.8489990234,210.9839935303,170.5070037842,174.4459991455,943636992,16036165876.8,2017-05-25T23:59:59.999Z,Ethereum,5/25/2017
659,175.2169952393,193.68800354,150.2779998779,160.4029998779,792457984,14749889599.6,2017-05-26T23:59:59.999Z,Ethereum,5/26/2017
660,159.8170013428,166.9519958496,120.4430007935,157.7579956055,1217059968,14511207045.4,2017-05-27T23:59:59.999Z,Ethereum,5/27/2017
661,158.8170013428,179.9349975586,157.6040039063,170.5110015869,717971008,15689192547.8,2017-05-28T23:59:59.999Z,Ethereum,5/28/2017
662,170.1349945068,197.1260070801,164.5299987793,194.908996582,718828032,17939882188.9,2017-05-29T23:59:59.999Z,Ethereum,5/29/2017
663,195.6130065918,233.7100067139,189.2929992676,231.9109954834,1586669952,21352550183.5,2017-05-30T23:59:59.999Z,Ethereum,5/30/2017
664,231.5780029297,236.9649963379,215.5679931641,230.6690063477,1271600000,21244817138.8,2017-05-31T23:59:59.999Z,Ethereum,5/31/2017
665,230.8860015869,236.220993042,214.4799957275,222.2389984131,812924032,20474652879.1,2017-06-01T23:59:59.999Z,Ethereum,6/1/2017
666,222.2859954834,229.4109954834,219.5839996338,223.7749938965,469532000,20622162298.6,2017-06-02T23:59:59.999Z,Ethereum,6/2/2017
667,223.4640045166,225.9730072021,219.4190063477,224.3760070801,427896000,20683715605,2017-06-03T23:59:59.999Z,Ethereum,6/3/2017
668,224.1170043945,250.4100036621,223.9810028076,245.3320007324,753820032,22622207553.3,2017-06-04T23:59:59.999Z,Ethereum,6/4/2017
669,245.2619934082,249.4689941406,243.0489959717,248.4640045166,435660000,22917910489,2017-06-05T23:59:59.999Z,Ethereum,6/5/2017
670,248.5989990234,267.5140075684,246.8390045166,264.466003418,741553024,24401181120.6,2017-06-06T23:59:59.999Z,Ethereum,6/6/2017
671,264.2600097656,264.6740112305,254.0399932861,258.0710144043,461648992,23818300201.8,2017-06-07T23:59:59.999Z,Ethereum,6/7/2017
672,257.9909973145,262.2520141602,253.9750061035,261.6659851074,385494016,24157329920.9,2017-06-08T23:59:59.999Z,Ethereum,6/8/2017
673,261.7489929199,282.7609863281,261.7489929199,281.7369995117,557985984,26018098658.2,2017-06-09T23:59:59.999Z,Ethereum,6/9/2017
674,282.0140075684,350.2609863281,282.0140075684,337.6679992676,1611629952,31192780483,2017-06-10T23:59:59.999Z,Ethereum,6/10/2017
675,338.7940063477,353.0109863281,318.1709899902,340.6090087891,1373219968,31473965820.8,2017-06-11T23:59:59.999Z,Ethereum,6/11/2017
676,341.1640014648,414.7560119629,341.1640014648,401.4899902344,2882650112,37110948644.2,2017-06-12T23:59:59.999Z,Ethereum,6/12/2017
677,395.6860046387,411.1780090332,370.0570068359,397.5369873047,1717379968,36756801122.8,2017-06-13T23:59:59.999Z,Ethereum,6/13/2017
678,397.5889892578,399.324005127,342.2149963379,359.0530090332,1272579968,33208658541.8,2017-06-14T23:59:59.999Z,Ethereum,6/14/2017
679,358.5069885254,364.4389953613,300.700012207,361.933013916,2463450112,33485258151.5,2017-06-15T23:59:59.999Z,Ethereum,6/15/2017
680,361.1820068359,373.0549926758,341.4169921875,370.2269897461,1096280064,34263095461.8,2017-06-16T23:59:59.999Z,Ethereum,6/16/2017
681,369.8829956055,379.4140014648,364.0020141602,379.4140014648,904652992,35124053707,2017-06-17T23:59:59.999Z,Ethereum,6/17/2017
682,379.5190124512,390.5809936523,368.8439941406,371.4580078125,904702976,34398150200.6,2017-06-18T23:59:59.999Z,Ethereum,6/18/2017
683,371.8640136719,377.1149902344,369.7630004883,370.0559997559,685171968,34278915230,2017-06-19T23:59:59.999Z,Ethereum,6/19/2017
684,370.3269958496,377.9689941406,350.941986084,359.0050048828,1020390016,33260958885.1,2017-06-20T23:59:59.999Z,Ethereum,6/20/2017
685,359.5400085449,361.3429870605,319.4790039063,336.8720092773,1420130048,31222823000.4,2017-06-21T23:59:59.999Z,Ethereum,6/21/2017
686,337.733001709,342.0270080566,330.6220092773,336.3710021973,925766976,31185326164.1,2017-06-22T23:59:59.999Z,Ethereum,6/22/2017
687,336.4849853516,348.0060119629,334.9899902344,341.7390136719,593206976,31691908923.7,2017-06-23T23:59:59.999Z,Ethereum,6/23/2017
688,341.625,343.6210021973,322.0870056152,323.6960144043,673585024,30027238695.6,2017-06-24T23:59:59.999Z,Ethereum,6/24/2017
689,323.466003418,332.7919921875,284.6459960938,303.2479858398,1186880000,28138409363.6,2017-06-25T23:59:59.999Z,Ethereum,6/25/2017
690,302.9549865723,311.4580078125,238.6490020752,272.691986084,2081810048,25309759967.6,2017-06-26T23:59:59.999Z,Ethereum,6/26/2017
691,272.691986084,293.0880126953,227.1369934082,293.0880126953,1973869952,27211279055.1,2017-06-27T23:59:59.999Z,Ethereum,6/27/2017
692,293.0419921875,333.1040039063,276.4140014648,327.9270019531,2056550016,30454577323.1,2017-06-28T23:59:59.999Z,Ethereum,6/28/2017
693,328.3659973145,330.7080078125,297.3729858398,302.8829956055,1508579968,28136918558.1,2017-06-29T23:59:59.999Z,Ethereum,6/29/2017
694,303.1520080566,315.1719970703,288.4429931641,294.9159851074,1011800000,27404731860.5,2017-06-30T23:59:59.999Z,Ethereum,6/30/2017
695,293.3529968262,293.7479858398,268.6170043945,274.6010131836,1089200000,25524313602.7,2017-07-01T23:59:59.999Z,Ethereum,7/1/2017
696,275.1229858398,295.5090026855,262.5199890137,287.9869995117,1123330048,26776243984.3,2017-07-02T23:59:59.999Z,Ethereum,7/2/2017
697,288.4140014648,291.1040039063,281.175994873,282.8980102539,851408000,26310761677.2,2017-07-03T23:59:59.999Z,Ethereum,7/3/2017
698,282.1910095215,287.3880004883,273.1109924316,273.3030090332,687691008,25425860777,2017-07-04T23:59:59.999Z,Ethereum,7/4/2017
699,273.0989990234,275.125,261.4469909668,268.7739868164,790256000,25011710284.7,2017-07-05T23:59:59.999Z,Ethereum,7/5/2017
700,268.858001709,278.4760131836,265.5119934082,270.5490112305,623080000,25179348910.6,2017-07-06T23:59:59.999Z,Ethereum,7/6/2017
701,270.3500061035,273.9429931641,244.1739959717,245.9909973145,687251968,22900134646.4,2017-07-07T23:59:59.999Z,Ethereum,7/7/2017
